"Country Code","TruePct"
"AE",0.67
"AF",1
"AL",0.67
"AO",0.5
"AR",0.82
"AT",0.67
"AU",0.72
"BD",0.6
"BE",0.72
"BG",0.79
"BH",1
"BI",1
"BJ",1
"BO",1
"BR",0.87
"BS",1
"BW",1
"CA",0.72
"CD",0.88
"CF",1
"CG",1
"CH",0.6
"CI",1
"CL",0.8
"CM",1
"CN",0.75
"CO",0.9
"CR",0.75
"CZ",0.85
"DE",0.7
"DJ",1
"DK",0.59
"DO",1
"DZ",0.33
"EC",0.7
"EE",1
"EG",0.83
"ES",0.67
"ET",1
"FI",0.45
"FR",0.92
"GA",1
"GB",0.71
"GE",1
"GH",0.89
"GN",0.75
"GR",0.83
"GT",0.7
"HK",0.53
"HN",0.86
"HR",1
"HT",1
"HU",0.75
"ID",0.92
"IE",0.83
"IN",0.87
"IQ",0.75
"IT",0.8
"JO",0.5
"JP",0.73
"KE",0.91
"KG",1
"KH",1
"KR",0.39
"KZ",1
"LB",1
"LK",0.88
"LR",1
"LT",0.8
"LU",0.5
"LV",0.5
"LY",1
"MD",0.87
"ML",1
"MM",1
"MN",1
"MQ",1
"MU",1
"MW",1
"MX",0.76
"MY",0.94
"MZ",1
"NA",1
"NE",1
"NG",0.98
"NI",0.67
"NL",0.69
"NP",0.8
"NZ",0.62
"PA",1
"PE",0.88
"PH",0.84
"PK",0.75
"PL",0.84
"PR",1
"PT",0.82
"PY",1
"RO",0.88
"RS",1
"RW",0.75
"SA",0.79
"SD",1
"SE",0.79
"SG",0.77
"SI",0.79
"SK",1
"SL",1
"SN",0.67
"SO",1
"SR",1
"ST",1
"SV",0.5
"SY",1
"SZ",1
"TD",0.5
"TG",1
"TH",0.89
"TJ",1
"TR",0.93
"TT",1
"TW",0.79
"TZ",0.92
"UA",0.92
"UG",0.93
"US",0.7
"UY",1
"VE",0.83
"VI",1
"VN",1
"YE",1
"ZA",0.92
"ZM",1
"ZW",0.83
"Total",0.78
,
"Applied filters:
 Qnum is 13
 Qnum is 13
 Status is Complete",
